NRO_CLIENT,TARIFA,CATEGORIA,CNS_ACT_FP,CNS_ACT_HP,SET,ALIMENTAD,SED,SEC_TIPICO,MES,CNS_ACT_SOMA,ANO,quadrado,datetime
1583, BT5B,0.0,89.0,0.0,LU,4,S-00744,1,1,89.0,2022,216,2022-1
1583, BT5B,0.0,101.0,0.0,LU,4,S-00744,1,2,101.0,2022,216,2022-2
1583, BT5B,0.0,111.4,0.0,LU,4,S-00744,1,3,111.4,2022,216,2022-3
1583, BT5B,0.0,119.6,0.0,LU,4,S-00744,1,4,119.6,2022,216,2022-4
1583, BT5B,0.0,109.7,0.0,LU,4,S-00744,1,5,109.7,2022,216,2022-5
1583, BT5B,0.0,90.5,0.0,LU,4,S-00744,1,6,90.5,2022,216,2022-6
1583, BT5B,0.0,100.5,0.0,LU,4,S-00744,1,7,100.5,2022,216,2022-7
18711, BT5B,0.0,344.0,0.0,SL,3,S-00305,1,1,344.0,2022,316,2022-1
18711, BT5B,0.0,848.2,0.0,SL,3,S-00305,1,2,848.2,2022,316,2022-2
18711, BT5B,0.0,415.1,0.0,SL,3,S-00305,1,3,415.1,2022,316,2022-3
18711, BT5B,0.0,355.2,0.0,SL,3,S-00305,1,4,355.2,2022,316,2022-4
18711, BT5B,0.0,303.0,0.0,SL,3,S-00305,1,5,303.0,2022,316,2022-5
18711, BT5B,0.0,270.3,0.0,SL,3,S-00305,1,6,270.3,2022,316,2022-6
18711, BT5B,0.0,264.5,0.0,SL,3,S-00305,1,7,264.5,2022,316,2022-7
18711, BT5B,0.0,331.4,0.0,SL,3,S-00305,1,8,331.4,2022,316,2022-8
18711, BT5B,0.0,350.8,0.0,SL,3,S-00305,1,9,350.8,2022,316,2022-9
18711, BT5B,0.0,451.9,0.0,SL,3,S-00305,1,10,451.9,2022,316,2022-10
18711, BT5B,0.0,307.9,0.0,SL,3,S-00305,1,11,307.9,2022,316,2022-11
18711, BT5B,0.0,315.0,0.0,SL,3,S-00305,1,12,315.0,2022,316,2022-12
19762, BT5B,0.0,217.0,0.0,SL,3,S-00304,1,1,217.0,2022,216,2022-1
19762, BT5B,0.0,232.0,0.0,SL,3,S-00304,1,2,232.0,2022,216,2022-2
19762, BT5B,0.0,1090.4,0.0,SL,3,S-00304,1,3,1090.4,2022,216,2022-3
19762, BT5B,0.0,371.6,0.0,SL,3,S-00304,1,4,371.6,2022,216,2022-4
19762, BT5B,0.0,331.0,0.0,SL,3,S-00304,1,5,331.0,2022,216,2022-5
19762, BT5B,0.0,294.0,0.0,SL,3,S-00304,1,6,294.0,2022,216,2022-6
19762, BT5B,0.0,259.0,0.0,SL,3,S-00304,1,7,259.0,2022,216,2022-7
19762, BT5B,0.0,311.0,0.0,SL,3,S-00304,1,8,311.0,2022,216,2022-8
19762, BT5B,0.0,298.7,0.0,SL,3,S-00304,1,9,298.7,2022,216,2022-9
19762, BT5B,0.0,314.7,0.0,SL,3,S-00304,1,10,314.7,2022,216,2022-10
19762, BT5B,0.0,349.4,0.0,SL,3,S-00304,1,11,349.4,2022,216,2022-11
19762, BT5B,0.0,384.4,0.0,SL,3,S-00304,1,12,384.4,2022,216,2022-12
39879, BT5B,0.0,249.5,0.0,SL,3,A-03643,1,1,249.5,2022,216,2022-1
39879, BT5B,0.0,207.9,0.0,SL,3,A-03643,1,2,207.9,2022,216,2022-2
39879, BT5B,0.0,210.6,0.0,SL,3,A-03643,1,3,210.6,2022,216,2022-3
39879, BT5B,0.0,208.0,0.0,SL,3,A-03643,1,4,208.0,2022,216,2022-4
39879, BT5B,0.0,199.0,0.0,SL,3,A-03643,1,5,199.0,2022,216,2022-5
39879, BT5B,0.0,319.2,0.0,SL,3,A-03643,1,6,319.2,2022,216,2022-6
39879, BT5B,0.0,328.2,0.0,SL,3,A-03643,1,7,328.2,2022,216,2022-7
39879, BT5B,0.0,217.6,0.0,SL,3,A-03643,1,8,217.6,2022,216,2022-8
39879, BT5B,0.0,144.6,0.0,SL,3,A-03643,1,9,144.6,2022,216,2022-9
39879, BT5B,0.0,236.3,0.0,SL,3,A-03643,1,10,236.3,2022,216,2022-10
39879, BT5B,0.0,182.8,0.0,SL,3,A-03643,1,11,182.8,2022,216,2022-11
39879, BT5B,0.0,200.5,0.0,SL,3,A-03643,1,12,200.5,2022,216,2022-12
39880, BT5B,0.0,402.1,0.0,SL,3,A-03643,1,1,402.1,2022,216,2022-1
39880, BT5B,0.0,365.4,0.0,SL,3,A-03643,1,2,365.4,2022,216,2022-2
39880, BT5B,0.0,355.5,0.0,SL,3,A-03643,1,3,355.5,2022,216,2022-3
39880, BT5B,0.0,357.0,0.0,SL,3,A-03643,1,4,357.0,2022,216,2022-4
39880, BT5B,0.0,336.2,0.0,SL,3,A-03643,1,5,336.2,2022,216,2022-5
39880, BT5B,0.0,361.0,0.0,SL,3,A-03643,1,6,361.0,2022,216,2022-6
39880, BT5B,0.0,349.0,0.0,SL,3,A-03643,1,7,349.0,2022,216,2022-7
39880, BT5B,0.0,1061.0,0.0,SL,3,A-03643,1,8,1061.0,2022,216,2022-8
39880, BT5B,0.0,338.6,0.0,SL,3,A-03643,1,9,338.6,2022,216,2022-9
39880, BT5B,0.0,358.3,0.0,SL,3,A-03643,1,10,358.3,2022,216,2022-10
39880, BT5B,0.0,330.0,0.0,SL,3,A-03643,1,11,330.0,2022,216,2022-11
39880, BT5B,0.0,337.1,0.0,SL,3,A-03643,1,12,337.1,2022,216,2022-12
39881, BT5B,0.0,0.0,0.0,SL,3,A-03643,1,1,0.0,2022,216,2022-1
39881, BT5B,0.0,0.0,0.0,SL,3,A-03643,1,2,0.0,2022,216,2022-2
39881, BT5B,0.0,0.0,0.0,SL,3,A-03643,1,3,0.0,2022,216,2022-3
