NRO_CLIENT,TARIFA,CATEGORIA,CNS_ACT_FP,CNS_ACT_HP,SET,ALIMENTAD,SED,SEC_TIPICO,MES,CNS_ACT_SOMA,ANO,quadrado,datetime
1583, BT5B,0.0,188.3,0.0,SL,4.0,S-00744,1,1,188.3,2019,216,2019-1
1583, BT5B,0.0,187.5,0.0,SL,4.0,S-00744,1,2,187.5,2019,216,2019-2
1583, BT5B,0.0,189.0,0.0,SL,4.0,S-00744,1,3,189.0,2019,216,2019-3
1583, BT5B,0.0,189.8,0.0,SL,4.0,S-00744,1,4,189.8,2019,216,2019-4
1583, BT5B,0.0,175.3,0.0,SL,4.0,S-00744,1,5,175.3,2019,216,2019-5
1583, BT5B,0.0,171.1,0.0,SL,4.0,S-00744,1,6,171.1,2019,216,2019-6
1583, BT5B,0.0,148.2,0.0,SL,4.0,S-00744,1,7,148.2,2019,216,2019-7
1583, BT5B,0.0,162.3,0.0,SL,4.0,S-00744,1,8,162.3,2019,216,2019-8
1583, BT5B,0.0,131.8,0.0,SL,4.0,S-00744,1,9,131.8,2019,216,2019-9
1583, BT5B,0.0,115.8,0.0,SL,4.0,S-00744,1,10,115.8,2019,216,2019-10
1583, BT5B,0.0,130.4,0.0,SL,4.0,S-00744,1,11,130.4,2019,216,2019-11
1583, BT5B,0.0,123.5,0.0,SL,04,S-00744,1,12,123.5,2019,216,2019-12
18711, BT5B,0.0,354.0,0.0,SL,3.0,S-00305,1,1,354.0,2019,316,2019-1
18711, BT5B,0.0,701.8,0.0,SL,3.0,S-00305,1,2,701.8,2019,316,2019-2
18711, BT5B,0.0,345.0,0.0,SL,3.0,S-00305,1,3,345.0,2019,316,2019-3
18711, BT5B,0.0,741.2,0.0,SL,3.0,S-00305,1,4,741.2,2019,316,2019-4
18711, BT5B,0.0,397.7,0.0,SL,3.0,S-00305,1,5,397.7,2019,316,2019-5
18711, BT5B,0.0,317.4,0.0,SL,3.0,S-00305,1,6,317.4,2019,316,2019-6
18711, BT5B,0.0,351.8,0.0,SL,3.0,S-00305,1,7,351.8,2019,316,2019-7
18711, BT5B,0.0,338.0,0.0,SL,3.0,S-00305,1,8,338.0,2019,316,2019-8
18711, BT5B,0.0,331.6,0.0,SL,3.0,S-00305,1,9,331.6,2019,316,2019-9
18711, BT5B,0.0,379.4,0.0,SL,3.0,S-00305,1,10,379.4,2019,316,2019-10
18711, BT5B,0.0,387.0,0.0,SL,3.0,S-00305,1,11,387.0,2019,316,2019-11
18711, BT5B,0.0,417.1,0.0,SL,3.0,S-00305,1,12,417.1,2019,316,2019-12
19762, BT5B,0.0,246.3,0.0,SL,3.0,S-00304,1,1,246.3,2019,216,2019-1
19762, BT5B,0.0,154.0,0.0,SL,3.0,S-00304,1,2,154.0,2019,216,2019-2
19762, BT5B,0.0,160.0,0.0,SL,3.0,S-00304,1,3,160.0,2019,216,2019-3
19762, BT5B,0.0,849.4,0.0,SL,3.0,S-00304,1,4,849.4,2019,216,2019-4
19762, BT5B,0.0,172.5,0.0,SL,3.0,S-00304,1,5,172.5,2019,216,2019-5
19762, BT5B,0.0,137.2,0.0,SL,3.0,S-00304,1,6,137.2,2019,216,2019-6
19762, BT5B,0.0,165.4,0.0,SL,3.0,S-00304,1,7,165.4,2019,216,2019-7
19762, BT5B,0.0,164.3,0.0,SL,3.0,S-00304,1,8,164.3,2019,216,2019-8
19762, BT5B,0.0,151.9,0.0,SL,3.0,S-00304,1,9,151.9,2019,216,2019-9
19762, BT5B,0.0,118.9,0.0,SL,3.0,S-00304,1,10,118.9,2019,216,2019-10
19762, BT5B,0.0,150.7,0.0,SL,3.0,S-00304,1,11,150.7,2019,216,2019-11
19762, BT5B,0.0,181.5,0.0,SL,3.0,S-00304,1,12,181.5,2019,216,2019-12
39879, BT5B,0.0,245.7,0.0,SL,3.0,A-03643,1,1,245.7,2019,216,2019-1
39879, BT5B,0.0,287.0,0.0,SL,3.0,A-03643,1,2,287.0,2019,216,2019-2
39879, BT5B,0.0,304.2,0.0,SL,3.0,A-03643,1,3,304.2,2019,216,2019-3
39879, BT5B,0.0,297.8,0.0,SL,3.0,A-03643,1,4,297.8,2019,216,2019-4
39879, BT5B,0.0,276.8,0.0,SL,3.0,A-03643,1,5,276.8,2019,216,2019-5
39879, BT5B,0.0,278.2,0.0,SL,3.0,A-03643,1,6,278.2,2019,216,2019-6
39879, BT5B,0.0,254.2,0.0,SL,3.0,A-03643,1,7,254.2,2019,216,2019-7
39879, BT5B,0.0,269.3,0.0,SL,3.0,A-03643,1,8,269.3,2019,216,2019-8
39879, BT5B,0.0,260.0,0.0,SL,3.0,A-03643,1,9,260.0,2019,216,2019-9
39879, BT5B,0.0,229.8,0.0,SL,3.0,A-03643,1,10,229.8,2019,216,2019-10
39879, BT5B,0.0,223.2,0.0,SL,3.0,A-03643,1,11,223.2,2019,216,2019-11
39879, BT5B,0.0,225.8,0.0,SL,3,A-03643,1,12,225.8,2019,216,2019-12
39880, BT5B,0.0,270.4,0.0,SL,3.0,A-03643,1,1,270.4,2019,216,2019-1
39880, BT5B,0.0,319.5,0.0,SL,3.0,A-03643,1,2,319.5,2019,216,2019-2
39880, BT5B,0.0,289.0,0.0,SL,3.0,A-03643,1,3,289.0,2019,216,2019-3
39880, BT5B,0.0,292.6,0.0,SL,3.0,A-03643,1,4,292.6,2019,216,2019-4
39880, BT5B,0.0,300.9,0.0,SL,3.0,A-03643,1,5,300.9,2019,216,2019-5
